task,fold_id,compound_id,y_true,max_train_similarity,top1_neighbor_compound_id,top1_neighbor_similarity,top1_neighbor_label
ar_binding,scaffold_holdout_01,DTXSID0020656,0,0.22972972691059113,DTXSID7024299,0.22972972691059113,1.0
ar_binding,scaffold_holdout_01,DTXSID0020862,1,0.42424243688583374,DTXSID9020409,0.42424243688583374,0.0
ar_binding,scaffold_holdout_01,DTXSID0021123,0,0.3499999940395355,DTXSID8020541,0.3499999940395355,0.0
ar_binding,scaffold_holdout_01,DTXSID0021961,0,0.380952388048172,DTXSID6020430,0.380952388048172,0.0
ar_binding,scaffold_holdout_01,DTXSID0023296,1,0.3255814015865326,DTXSID2034885,0.3255814015865326,0.0
ar_binding,scaffold_holdout_01,DTXSID0024216,0,0.7037037014961243,DTXSID0047539,0.7037037014961243,0.0
ar_binding,scaffold_holdout_01,DTXSID0024266,0,0.6666666865348816,DTXSID6021828,0.6666666865348816,0.0
ar_binding,scaffold_holdout_01,DTXSID0026967,0,0.375,DTXSID0025101,0.375,0.0
ar_binding,scaffold_holdout_01,DTXSID0032493,1,0.6304348111152649,DTXSID2024242,0.6304348111152649,1.0
ar_binding,scaffold_holdout_01,DTXSID0032497,0,0.5454545617103577,DTXSID5021388,0.5454545617103577,0.0
ar_binding,scaffold_holdout_01,DTXSID0032520,0,0.30000001192092896,DTXSID7034383,0.30000001192092896,0.0
ar_binding,scaffold_holdout_01,DTXSID0034300,0,0.42307692766189575,DTXSID7034961,0.42307692766189575,0.0
ar_binding,scaffold_holdout_01,DTXSID0034855,0,0.4761904776096344,DTXSID1034503,0.4761904776096344,0.0
ar_binding,scaffold_holdout_01,DTXSID0041141,0,0.23529411852359772,DTXSID3029572,0.23529411852359772,0.0
ar_binding,scaffold_holdout_01,DTXSID0044575,0,0.2535211145877838,DTXSID0032572,0.2535211145877838,1.0
ar_binding,scaffold_holdout_01,DTXSID0047248,0,0.6774193644523621,DTXSID5047291,0.6774193644523621,0.0
ar_binding,scaffold_holdout_01,DTXSID0047292,0,0.21739129722118378,DTXSID5021209,0.21739129722118378,0.0
ar_binding,scaffold_holdout_01,DTXSID0048183,1,0.3947368562221527,DTXSID0022480,0.3947368562221527,0.0
ar_binding,scaffold_holdout_01,DTXSID0048507,0,0.28947368264198303,DTXSID2047278,0.28947368264198303,0.0
ar_binding,scaffold_holdout_01,DTXSID1020647,0,0.3478260934352875,DTXSID6032514,0.3478260934352875,0.0
ar_binding,scaffold_holdout_01,DTXSID1020932,0,0.52173912525177,DTXSID1020140,0.52173912525177,0.0
ar_binding,scaffold_holdout_01,DTXSID1021160,0,0.29411765933036804,DTXSID2020262,0.29411765933036804,0.0
ar_binding,scaffold_holdout_01,DTXSID1021409,1,0.4117647111415863,DTXSID4027072,0.4117647111415863,0.0
ar_binding,scaffold_holdout_01,DTXSID1021798,0,0.5,DTXSID1025857,0.5,0.0
ar_binding,scaffold_holdout_01,DTXSID1022396,0,0.4000000059604645,DTXSID5022308,0.4000000059604645,0.0
ar_binding,scaffold_holdout_01,DTXSID1024124,0,0.698113203048706,DTXSID6023864,0.698113203048706,0.0
ar_binding,scaffold_holdout_01,DTXSID1025805,1,0.3589743673801422,DTXSID1020699,0.3589743673801422,1.0
ar_binding,scaffold_holdout_01,DTXSID1026118,0,0.380952388048172,DTXSID3021774,0.380952388048172,0.0
ar_binding,scaffold_holdout_01,DTXSID1026665,0,0.47826087474823,DTXSID7021491,0.47826087474823,0.0
ar_binding,scaffold_holdout_01,DTXSID1027479,0,0.4516128897666931,DTXSID2021864,0.4516128897666931,0.0
ar_binding,scaffold_holdout_01,DTXSID1027633,0,0.5,DTXSID7022411,0.5,0.0
ar_binding,scaffold_holdout_01,DTXSID1032355,1,0.3191489279270172,DTXSID3037208,0.3191489279270172,0.0
ar_binding,scaffold_holdout_01,DTXSID1032359,1,0.65625,DTXSID8034877,0.65625,0.0
ar_binding,scaffold_holdout_01,DTXSID1032482,0,0.3695652186870575,DTXSID6021953,0.3695652186870575,0.0
ar_binding,scaffold_holdout_01,DTXSID1032569,0,0.22727273404598236,DTXSID9035204,0.22727273404598236,1.0
ar_binding,scaffold_holdout_01,DTXSID1032640,0,0.43589743971824646,DTXSID9027312,0.43589743971824646,0.0
ar_binding,scaffold_holdout_01,DTXSID1037565,0,0.45652174949645996,DTXSID0034518,0.45652174949645996,0.0
ar_binding,scaffold_holdout_01,DTXSID1038666,0,0.3870967626571655,DTXSID8026228,0.3870967626571655,0.0
ar_binding,scaffold_holdout_01,DTXSID1040372,0,0.4285714328289032,DTXSID3024235,0.4285714328289032,1.0
ar_binding,scaffold_holdout_01,DTXSID1040792,0,0.27586206793785095,DTXSID9024063,0.27586206793785095,0.0
ar_binding,scaffold_holdout_01,DTXSID1041978,0,0.5396825671195984,DTXSID5034357,0.5396825671195984,0.0
ar_binding,scaffold_holdout_01,DTXSID1044643,0,0.3199999928474426,DTXSID4026262,0.3199999928474426,0.0
ar_binding,scaffold_holdout_01,DTXSID1047283,1,0.4000000059604645,DTXSID9047251,0.4000000059604645,1.0
ar_binding,scaffold_holdout_01,DTXSID1047285,0,0.4655172526836395,DTXSID6047284,0.4655172526836395,0.0
ar_binding,scaffold_holdout_01,DTXSID1047360,1,0.37704917788505554,DTXSID1041346,0.37704917788505554,0.0
ar_binding,scaffold_holdout_01,DTXSID1047362,1,0.42553192377090454,DTXSID8020591,0.42553192377090454,0.0
ar_binding,scaffold_holdout_01,DTXSID1047576,0,0.5641025900840759,DTXSID1020930,0.5641025900840759,0.0
ar_binding,scaffold_holdout_01,DTXSID1048176,0,0.2616822421550751,DTXSID4048511,0.2616822421550751,1.0
ar_binding,scaffold_holdout_01,DTXSID2020894,0,0.5833333134651184,DTXSID9020114,0.5833333134651184,1.0
ar_binding,scaffold_holdout_01,DTXSID2020929,0,0.3448275923728943,DTXSID3026641,0.3448275923728943,0.0
ar_binding,scaffold_holdout_01,DTXSID2022048,1,0.4285714328289032,DTXSID2021993,0.4285714328289032,0.0
ar_binding,scaffold_holdout_01,DTXSID2022179,0,0.3571428656578064,DTXSID6026799,0.3571428656578064,1.0
ar_binding,scaffold_holdout_01,DTXSID2025210,0,0.3513513505458832,DTXSID7020425,0.3513513505458832,1.0
ar_binding,scaffold_holdout_01,DTXSID2025347,0,0.3333333432674408,DTXSID5020152,0.3333333432674408,0.0
